ID,Reviews_Summary,Prediction
342763,"Great Product , No Sodium , 100% Natural , Tasty and easy to cook !!! loving it !",1
194727,"Oh, Hubba my bubba...",1
200806,Spicy and great,1
45969,Baby Lilly says 2 thumbs up!,1
229826,"Crunchy, spicy, not too sweet - YUM!",1
354167,Best gummi bears in world,1
326493,Delicious!,1
158172,Great crackers,1
282907,Very Cute,1
448918,Best Pop Chips Ever!,1
162187,great treat,1
97235,"Great taste, great price",1
94436,Great Snack!,1
145804,Liquid Health,1
164749,noonie55,1
356021,Freedent Gum at Amazon,1
291852,Best quality. *Pure* Almond Butter,1
333514,My Sheltie absolutely loves Zukes,1
70639,I could not find these in any local stores for many months,1
26598,Husband Loves The Sauces,1
432952,Great little juniper bonsai!,1
513956,Favorite Ball of my dogs!,1
312972,treat,1
282886,Tasty and healthy!,1
343399,"Zoey sez: ""YUM!"" ... Mom sez: ""Er, there's corn syrup in these...""",1
125269,Delicious,1
300877,Fabulous pasta -- and HEALTHY too (!).,1
349503,AWESOME FLAVOR - LOW FAT!,1
413420,yummm,1
489306,Yum,1
103384,Great pasta!,1
431890,just like the restuarant tea,1
516341,Easy packaging and great deal!,1
314007,ORGANIC AND AMAZINGLY DELICIOUS,1
123371,flashback!,1
401217,What a brilliant appliance!,1
258257,"Toasted, the only way to go....",1
449926,"These things aren't cheap, but boy are they good!",1
475737,My Favorite Flavor,1
187556,are you a ginger fan?,1
32540,Apricot syrup,1
181985,My 65 LB Boxer Loves Diamond Naturals Beef and Rice,1
466961,MMMMM!,1
121790,Amazing Quality of Teas,1
89127,Portable and Tasty Fruit Leather!,1
8934,Real Candy Cane Shavings In This!,1
242797,Tastes great!,1
205597,"Outstanding Service, Teas, and Shipping",1
49833,Very strong!,1
443038,Taste good and high protein,1
407581,My cat's favorite flavor,1
270361,How Pasta Should Taste!,1
457245,Delightful for a sweet tooth,1
358978,THE BEST HOT SAUCE EVER!,1
397899,I LOVE THIS HOT CHOCOLATE FOR THE KEURIG!,1
32073,Very Fine,1
167769,worked for me!,1
23717,Our favorite cheese crackers,1
61638,Replacing processed or fake sugar,1
432049,"Fruity, sweet matcha!",1
226284,Gloria Jeans Hazlenut kcups,1
455073,Kashi Banana Chocolate Chip Yummy,1
19225,Mandarin Green Tea,1
262682,cat chews to clean teeth,1
249012,Very good product!,1
517436,Ice Cream Makings,1
437189,My cat likes it,1
162897,Love torrones!!!,1
12554,Breeder Recommended & Cavalier King Charles Puppy Loves It!,1
362112,Best Snack Crackers Ever!,1
459238,My Doctor suggested these,1
222299,Breakfast Cereal,1
178511,Awesome deal,1
130554,"Hmmm, coffeeeee",1
166965,SF bay coffee,1
159821,"A little more expensive, but worth every penny!",1
309517,very soothing,1
293869,Great Rawhide Substitute,1
524714,Fresh as Ever,1
144178,"Great Taste, Great Benefits!",1
203027,great product,1
422193,Great mustard! This is the real stuff for grown-ups,1
498158,"Quinoa soul food of the Andes, PRE-WASHED",1
524671,Healthy drinks,1
26341,"Great Tasting Tea, One Cup At A Time!",1
506223,"Best BBQ chip on the market today, they POP with flavor!",1
333737,Wonderful Treats for training,1
401051,Great for busy moms!,1
517313,Tasty little chips,1
481537,Hard to find in stores.,1
180464,very nice,1
342372,"Good, but Amazon has the flavor names wrong",1
496272,"Very nice, one of my favorites!",1
392519,"""My dog loves them""",1
129396,"Great, Loved it but what happened to the price?",1
205985,Best chocolate drink ever,1
134263,"Good price, great taste",1
341326,"KIND chocolate, cherry, cashew",1
39811,Catmilk for all my friends!,1
59473,Customer satisfied,1
468775,Wonderful Tea!,1
150124,Best drink for cycling,1
20942,Fantastic Alternative to Wheat Pasta,1
365496,Very good!,1
314881,Worked 1st day!,1
287773,Gluten-Free Pantry Favorite Sandwich Bread Mix,1
79261,Must have for puppy owners!,1
419336,Jet Fuel got me through Air Force Pilot Training,1
13695,Just what I was looking for.,1
146002,The best chai available!!,1
472166,just like startbucks,1
325545,This is BOLD!!!,1
139930,good and good for you,1
209598,My Daily Green Tea ~ Excellent taste and value,1
138788,Bully sticks,1
238134,Outstanding coffee,1
376632,Fit fruit wash,1
40020,"Perfect snack, perfect size!",1
365717,"Overall, best cereal on the market imho",1
424277,Found what I been looking for,1
381516,ABSOLUTELY THE BEST!!!,1
301153,Our Dog Tina's Favorite Snack!,1
511827,Can't beat the price,1
491960,good stuff,1
523264,Morning Protein shake,1
469326,Excellent coffee,1
217692,Yummy,1
426523,Pattid,1
356760,Excellant product - good price,1
77893,Chinese Tea,1
384967,New Hope the Best,1
57703,best buy,1
308472,By FAR the BEST Chai I've had,1
192691,Great Food for Multi-Cat Household Also!,1
379984,"Super taste sensation, not too hot, but spicy enough for children to crave",1
231657,Couldn't Be Without These Pill Pockets,1
206558,the best so far,1
33049,Very good spice kit,1
371971,Potato Soup,1
37746,CHECK YOUR LOCAL ASIAN STORE FIRST! CHEAP IN STORE!,1
512784,Simply delicious!,1
427467,Wow!,1
341445,Delicious!,1
398758,Nestle Hot Cocoa Mix,1
314174,My dog loves it,1
255200,Convenient and delicious!,1
502034,Water Kefir grains (not milk as others have reviewed),1
321031,Not an ordinary potato snack,1
384094,Price is Right,1
16993,Good Breakfast,1
186273,Tastes great AND it's good for you!,1
345243,"No Calories or Sugar, but Lots of Flavor",1
106713,The Happy Wife,1
11516,Delicious wine!! Yummy!,1
464272,The first 50 bricks were great,1
349010,Nutritious and Convenient,1
165104,dog cookies,1
520972,Yum,1
164536,Great product!,1
49562,Bear Creek Cheddar Broccoli Soup,1
110165,Healthy for your Dog and They Last,1
39521,Natural Dark Chocolate Taste,1
259510,Great product!,1
372997,"One bite and you'll become a ""chippoisseur""",1
273134,Fantastic,1
50455,Coconut oil for head lice,1
248627,Dental chews for dogs teeth,1
189678,Cinnamon Apple Spice is the Best!,1
234456,Wiskas  Temptations,1
136323,The best Earl Grey out there,1
118479,Great cup of coffe; 5 cents more per cup that at Store,1
290477,Delicious Seasoning,1
387677,Like Candy for Your Dog,1
275350,Great cup of Joe..,1
515873,Chocolate Dipped Frog Cookies,1
315121,Keep Coming Back to Crystal!,1
351758,This works!,1
4432,this is the one,1
117089,Grew up on it and I love it,1
364906,Excellent Product and Made in U.S.A.,1
357416,"Sun Maid California Golden Raisins, 15-Ounce Boxes (Pack of 6)",1
34812,Best Taste Ever,1
439335,Healthy cooks,1
330988,Formula,1
170456,Steak burgers mmm!,1
103361,The Best Gluten Free Pasta alternative,1
395481,excellent Product,1
381218,SATISFIED CUSTOMER,1
321358,Best almonds ever,1
517455,Peppermint Hershey Kisses,1
300412,Great service,1
294807,NO MORE BPA!,1
281858,Great hydration drink,1
185897,coffee storage drawer,1
128716,"Excellent cat food, causes enthusiastic eating",1
459741,MIO Mango Peach (liquid),1
219968,I wish I thought of it sooner.,1
415228,"Oh, my stars in heaven",1
447817,Good flavor! Happy with product*****,1
477539,our dogs love these treats!,1
7449,Love Bob's Red Mill Products,1
49679,Zhena' tea. Best tea!,1
272266,Skim Milk Move Over!,1
108975,Two Thumps Up!  (Way up),1
509238,"Great Product, for one main reason.",1
199510,NOT involved in the recall,1
335938,Yumm!  :od,1
402243,Wonderful taste,1
66140,Best Crystal Light flavor!!!,1
433635,Kids love it.,1
134154,"Not decaf, Error in Product Features description",1
146916,My dog will do anything for this!,1
257834,AMAZING,1
172352,Great shells!,1
266022,Good stuff,1
397054,Yum!,1
19398,"Greenies Dental Chews for Dogs, Teenie Pack, 96 Chews",1
495368,Doggie Nirvana,1
333644,"Leo would walk through fire for salmon, through rain for peanut butter",1
480424,Great deal on K-cups!,1
144905,spicyjust,1
523394,great popcorn,1
256723,Best Energy Drink Around With No Sugar,1
7078,Not so goaty- which is Good!,1
415916,Great Price and Quality,1
80505,really fresh and tasty,1
335031,My very favorite coffee.,1
469719,"Outstanding, Bold, Lively Sumatran. best of the K-cups",1
129875,"A good, great-smelling cup of coffee.",1
506296,Popchips,1
156589,First-Class Split Pea Soup,1
330438,Yum!,1
230568,Weaned my Kittens!,1
109454,Wonderful!,1
516040,Coffee from Amazon,1
481986,Wonderful For Snacking Too!,1
215134,Gloria Jeans Hazelnut K cups,1
184195,It's hemp milk,1
363063,I love it every morning!,1
475483,FINALLY!!  I'm so glad to finally see this on Amazon!!,1
320241,The best-tasting sugar free chocolate out there,1
51077,My dog loves this stuff.,1
477951,Jack Links is the best!,1
333384,Fast Shipment,1
199645,High Mountain Magic.  Food of the Gods,1
9956,Love these,1
176646,She loves it,1
277617,Dogs love them!,1
331314,rose extract,1
505954,MY DOGS FAVORITE TREAT!,1
388476,The best black tea,1
388486,Prince of Wales Tea Review,1
39267,Excellent brightness - Very Efficient,1
151439,Hot Buffalo Wing Pretzels,1
457866,Delicious!,1
405090,The best!!! Allows you to make tea just as good as Starbucks!,1
374003,"tasty, crunchy",1
455922,Woflgang Puck Favorite !!,1
339320,easy coffee,1
147138,Unique but tons better than the normal top ramen,1
199518,Excellent Dog Food For Some,1
81991,Great Value,1
68806,Fantastic!,1
102434,Thanks,1
8206,Love at First Bite,1
218564,Gave this as a gift.,1
209879,Superb quality!,1
181156,yum,1
241314,My doggies liked it,1
217613,Excellent Tool!,1
252136,My son loves it!,1
115885,Works GREAT for training!,1
244946,Yummy to the tummy,1
356952,Yummy Orange tea!,1
236598,Wonderful Tuna,1
395290,I was PLEASANTLY surprised!,1
319490,"Good, and just enough to satisfy you.",1
126970,"If you like Slim Jims and/or Tabasco, then these babies are fantastic. Hot, but delicious. A+!!!",1
53030,"YES, we found an easy way to make Subway's Chipotle Sauce",1
458340,Whiskas Tender Bites,1
478316,We love the flour!,1
308373,Fantastic Flavor,1
80594,Great Product,1
340391,As expected,1
293356,Gotta love the sugar free cider,1
127749,AH!mazing,1
413402,excellent product,1
500555,Amish Country Rainbow Blend Popcorn,1
235815,kids love them,1
407076,Fabulous,1
424216,12 pck of Reed's Crystallized Ginger Candy,1
392750,So tasty,1
491657,Gratification Times 10!,1
322612,Excellent by itself or in hummus/baba ganoush,1
325411,Good flavor!,1
116040,Good Decision!,1
118849,"Good Quality Tea, good packing and reasonable shipping time",1
375624,Great,1
34776,Viva La Florentine Torrone,1
280665,Best natural energy boost I've ever taken,1
39366,my favorite,1
394198,My favorite since I was a child in Hawaii,1
469788,Excellent Good Tasting Coffee,1
76248,Great Taste,1
313870,"India Tree Carousel rainbow cake sprinkles, 2.7 oz (Pack of 3)",1
457011,Best I've used,1
476781,Best Ever,1
164275,Great product,1
130891,Nice solution for flavored coffee lovers,1
257693,Great Gift,1
128486,"Best Tea on Earth (No, I don't own company stock!)",1
388793,Delicious!,1
252706,Mango soda!,1
453397,Excellent,1
264652,Great bedtime snack for diabetics,1
377796,the best tea cookie,1
386154,And Cats Too.....,1
399055,Thank goodness for this cat food!,1
253409,Good Sturgeon (Black) Caviar,1
302684,Addictive,1
114826,Where's the movie?,1
479421,Delightful!,1
328573,Great product,1
64414,DID I FORGET TO MENTION? -- IT TASTES GOOD TOO!!!,1
238767,Smooooth,1
394905,best green tea in a bag,1
466101,"Much cheaper locally, awesome peanut butter",1
417999,The best,1
297849,Amazing Pasta,1
84284,love love love,1
308099,Absolutely Delicious,1
217277,Great ginger taste,1
351276,Delicious Treats!,1
6551,My Dog Loves it!,1
381456,MAGIC FOOD!,1
113271,barley bread mix,1
215926,Super flavor!!!,1
193611,Super way to get protein boost,1
69502,one of my favorite candy bars,1
256690,a nice snack,1
200307,"Pero, Instant natural beverage",1
192775,Excellent mole trap,1
193511,addicted to this stuff,1
261410,ENERGY in a bottle!!,1
111578,Wow! It really does work! Do NOT try vinegar though!,1
319806,Convenient!,1
256567,A great finishing touch over well made meals,1
57180,double bergamont tea,1
348940,The World's BEST Bagel Chips!!!,1
20533,Newman knew his stuff,1
442455,love them,1
326640,Perfect protein snack,1
99521,Love it!,1
504912,The dog loves them and they probably help his teeth,1
297372,LOVE THESE- GET THE LARGE SIZE,1
52701,Coffee with  joy,1
43688,pro plan shredded blend large breed formula,1
228924,So Good!,1
464268,Very Nice And Good,1
154005,World-Famous New Orleans Donut squares you can make at home!,1
117687,Excellent grain free dry cat food.,1
126235,Thank you Betty Crocker!,1
417151,Half a Century and Still Love It,1
518920,Very Reasonably Priced and Delicious,1
190114,Slim Jims,1
148296,review on hunter sauce,1
339216,yummmmm!!!!,1
158683,The simple pleasure of chocolate combined with peanut butter,1
132190,Very Yummy,1
272989,My cat LOVES these!!!,1
347187,Fruit and Nut Breakfast Cookie,1
391918,My dog loves these,1
70442,Great Coffee if you like your Coffee STRONG>>>,1
171435,Yummmm,1
40115,Great travel snack!,1
25810,Theater popcorn,1
26851,Movie theater popcorn at home!!!!,1
233778,Great Taste,1
325996,jclngbch,1
525544,"Great stuff,and a must to have",1
453194,Best Olive Oil Ever,1
48711,David Rio Flamingo Vanilla Decaf Sugar Free Chai,1
40258,True English Tea,1
103413,These are great !!,1
49485,Love this coffee!,1
53537,These are amazing!!,1
90107,bring M80 back to Dallas,1
422914,Simply Amazing! My Siberian Huskies seem to think so too.,1
244026,This is really great lower calories soft drink and tastes good too.,1
336877,Great Northern Popcorn,1
126810,Great for food allergies!,1
341399,Super fresh and good,1
389278,Tasty!,1
332388,These are the best chips ever,1
59023,yum worth it!!,1
322169,My opinion,1
506012,Great Wheat-free Dairy-free Product,1
24451,get up & GO !!!,1
72178,Love these chips!,1
508487,The Most Wonderful Dark Roast Coffee,1
163900,great snack,1
503219,My favorite quick snack!!,1
175155,Intense flavor for just a few calories.,1
439182,Great product at a great price,1
9252,"I Love Salt, So I Love These",1
407120,best coffe yet,1
20840,Great food!,1
130634,Pleasantly surprised!,1
366076,Thank you Glutino,1
224551,Love this stuff,1
292575,"Delicious, well balanced flavor",1
84719,Delicious!,1
445224,My boy likes it.,1
511755,Lame without it.,1
266524,The right stuff,1
301033,"A Product I Had Been Waiting For, Lived Up To the Hype",1
375698,Great Maypo purchase,1
227493,Carmel Apple Tea,1
73030,Awesome protein bars!,1
441416,Raw Diet for Dogs,1
279467,Great Tasting Jack Links,1
295942,Pugsly Loves Lean Treats,1
218193,soothing,1
62684,My absolute favorite green tea,1
478139,jfg coffee,1
38937,As good as my moms' curry!,1
472519,Best coffee,1
342110,Best of the oyster sauces we have tried,1
92924,mmmmh... jummy,1
233064,This stuff is GREAT!!!!,1
64015,My husband and kids cannot get enough of these cookies!,1
177140,None better-buy it,1
186017,Love this syrup; good substitute for other syrups in recipes,1
121358,This food saved Moe's life...........,1
224549,Holy Click! This stuff is amazing!,1
170610,Tasty & Moist Sardines,1
421721,Love it!,1
495927,"Delicious cookies, but........",1
487344,Excellent Oatmeal Bar,1
455534,Simple and Elegant,1
273814,Best Gum Ever,1
203818,freshly roasted coffee in a pod,1
253542,Great product,1
26744,Great results --movie theater popcorn at home!,1
438100,Best chocolate drink ever,1
71094,Excellent product,1
416555,AWESOME!,1
283778,Wonderful White Chocolate taste!,1
165742,I took a chance... and I love them!,1
523810,PB2 is great!,1
431235,The best Blow Pops ever!,1
357744,YUMMY!,1
310590,Dogs love it,1
390681,Wonderful flavor,1
105908,Favorite Lipton Green Tea Flavor,1
460033,Great tasting & Excellent Variety,1
299540,good mystery present,1
394081,Diet help.,1
469397,Best Beef Jerky on Amazon,1
56057,Great tasting but Amazon price too high,1
146134,Like C4 explosive if not treated with respect!,1
433521,Best Coffee ever,1
426876,A good single serve D-Caf,1
179731,the best cookie ever,1
63295,excelent blend,1
332717,Good organic option,1
129652,Loved it!,1
128975,Better than homemade..,1
153209,These are great,1
199592,OMG...... Tastes better than coffee,1
479766,Rather true to form - right amount of sweetness,1
477580,Our dog loves these!,1
277846,Wonderful Coffee,1
456290,Great Coffee,1
412679,Great Food,1
518746,First Herbal Tea I've ever liked,1
24805,Lipton Spiced Chai review,1
276704,My 'Special Treat' for those leisure times,1
79638,Peachy Keen,1
446311,As advertised,1
19934,Great chocolate basket!!!,1
520221,A Good Cereal at a Good Price,1
192439,The best seasoning and rub for a Prime Rib in the world!,1
181733,A Healthy Cookie,1
280200,Got Best Price From Amazon,1
377235,Pure peach,1
40355,"Good, Strong, Black Tea",1
520033,"After a few cans, I'm hooked.",1
265525,Doggie's Change of Pace,1
120173,Chickpeas,1
435886,The best coffee,1
492012,very creamy!  Love it!,1
91013,Feed my two dogs only Wellness brand. Consistently on top ten canned dog food lists,1
86481,Great Price Great Ingredients,1
311365,Gourmet Gift Basket,1
327774,Just who does not like oreos,1
351407,If you love caramel popcorn...,1
236613,The best in canned tuna,1
312073,"Beware, highly addictive!",1
229051,Carson,1
366031,Good Tasting Pretzels,1
118837,Excellent Cat Food,1
483483,Hubby loves this,1
168078,Formula that works,1
262435,Dog loves them,1
191697,Love this when I'm sick,1
58884,Sunmaid Honey Raisin Bran Muffins,1
507561,such good coffee - we're spoiled!,1
388867,these are amaaaaaaazing!!!,1
417032,Planters Big Nut Bars.,1
419431,Yum,1
150453,It is a man thing,1
257897,LOVE!,1
499799,BBQ!!,1
313698,HEALTHY ALTERNATIVE,1
304921,Great Find,1
389492,"The""Real McCoy""",1
210309,Good Seasons Cheese GArlic Dressing,1
438995,Mild but effective!,1
225657,DELICIOUS MIXED NUTS & WHITE CHOCOLATE BAR!!!,1
169862,Joffrey's Winter Wonderland Coffee,1
441740,If you're gonna drink junk.... Drink good junk!,1
132910,Good source for plain M&Ms,1
477394,Excellent product,1
343153,Good,1
211942,Great snacks,1
466985,Great product but Hi-way robbery!!!,1
487040,Delicious,1
404036,good,1
500719,Great transition food!,1
316527,Love this spice,1
152537,Love this product!,1
298763,"amazing garlic powder, no fillers!",1
387310,Eight O'Clock Coffee,1
295804,Favorite Spaghetti,1
329340,viperron,1
473763,Good w/o the mess,1
334536,My Current Favorite Bold and Rich KCup!,1
377204,CAT ORGASMIC CREAM,1
37909,Great food for my cats,1
30392,love it...should be in every kitchen..so much flavor!,1
236973,Naked 100% Coconut Water,1
324742,sweetness,1
236767,Awesome summer blend,1
299983,Pill Pockets,1
166435,Great Chew Treats for Dental Cleaning!,1
313150,NO  MORE MOTHS!!!,1
422630,Yummy,1
20195,great dog toy,1
410114,Addictive,1
399210,Great food,1
347965,Delicious!,1
298758,Authentic,1
150641,TERRIFIC!,1
502314,Heaven in a cup!!!,1
452473,Roland Basmati White Rice,1
190808,"Fast service, great shipping and quality",1
18825,Great price for a fun and tasty product!,1
120744,Super easy nutrition,1
308409,OMG!!! Delicious!!!,1
419772,Healthy product,1
191268,Not just for special occasions,1
110786,I just started using Amazing Grass Green SuperFood,1
182669,Great Tasting...,1
77053,coffee,1
165910,No more fighting to get pills down,1
184767,great taste and price,1
75000,BLUE DIAMOND ALMONDS,1
519171,Great price and Product!,1
67272,Wonderful cookie + also try the brownies!,1
495601,YUM!,1
232609,"If you are Peruvian, you will love it!",1
496459,I LOVE them!!!,1
186716,Awesome.,1
264221,Bran Fiber Crackers are effective and not too bad.......,1
127889,Heavenly pralines,1
512813,Thank you Amazon!,1
207581,Great right after your work out,1
244589,Excellent GLUTEN FREE muffins that anyone will enjoy!,1
318548,Fantastic Chopped Nuts!,1
437834,Lemon newton thins,1
137061,Dark Chocolate Chunk Cookies,1
460479,Caution: Kettle Chips are addictive!,1
51513,Delicious Tea,1
384965,I'm so happy I can eat pancakes again!!,1
2019,I would recommend this product.,1
378443,Better Than Amazing Grass Chocolate,1
335995,Great Chili,1
185365,great coffee,1
72015,Best chocolate on earth,1
249148,timothy's rainforest extra bold,1
81978,Great Product,1
13352,Emerils Big Easy Bold K Cups for Keurig (50),1
256641,"Something different,",1
57346,Best damn noodles ever,1
474569,My whole family loved them,1
295608,"Amazing Coffee, Good Expiration Date, In Retail Packaging",1
9747,Canine Testimonial,1
26244,AWESOME COFFEE!!!,1
238925,even great for adults,1
275049,Great Snack,1
204260,Love These,1
10303,the.best.coffee.ever,1
241597,Excellent Saffron,1
53416,yummiest taffy ever!!,1
230612,hard to find year-round GREAT item,1
1128,So Good!,1
126441,My dog loves these!,1
24190,"with a little help, superb",1
390430,There are no substitutes,1
337509,Exactly as expected,1
45906,Great Flavor,1
446652,Back to Nature Peanut Butter  Creme Cookies,1
439820,Best price,1
243316,Great eye cleaner pads for dogs and cats,1
50627,picky son loves these,1
376934,love this stuff,1
110595,Exactly as Pictured,1
221035,Nice and crunchy cereal,1
351161,Jars of Tomato Paste,1
124204,cereal,1
463200,It's a Keeper!,1
391073,Picky eaters at my home love this gravy!,1
260347,Awesome!,1
11045,Wow! Some of the meatiest Sardines we have ever eaten.,1
71259,Outstanding Tuna,1
121597,Pop Tarts - Eat your heart out!!!,1
204460,top quality stuff!!,1
474524,SMOOTH ENERGY,1
168148,Just like honey,1
33684,Delicious and versatile for the Low Carb dieter,1
145938,"Great product, super fast shipping!",1
13636,Just Right.,1
99012,This is it!,1
402440,MMMM .... healthy and yummy!,1
116401,Never Hungry,1
384809,The Best,1
246085,Love It !!!,1
16771,I can't believe they are gluten free!,1
448401,Great Multigrain Chips,1
40919,A Top Garden Radish,1
414898,You can't go wrong with Banana Laffy Taffy!,1
301442,Excellent,1
14407,Baconaise,1
339612,Great Treats,1
101136,Green Mountain Coffee,1
363943,great standing prime rib,1
141594,No dehydration again!,1
362328,Stash Chai Tea,1
492309,Great Product,1
116558,Perfect for travel,1
150763,Glad I tried it!!!!,1
348756,candy,1
476353,Really Good decaf,1
476124,HELP - I'm chewing JACKLINKS JERKY and I can't STOP !!!,1
520173,LOVED IT!!!!,1
159362,Highly recommend trying this,1
348573,STILL the BEST out there!!,1
403289,Delicious and stinky!,1
133631,Not cheap.  But tasty.,1
394907,Dream in a Cup,1
466856,Everything you need for sushi,1
297028,not another like it,1
495617,YUMMO!  I am a coffee purist,1
287593,SHHH - Don't let them know these are good for them.,1
464480,Best instant coffee available,1
346492,yummy soup,1
50398,Great Taste right to my front door!,1
438229,It won't be packaged fancy...,1
207401,Wonderful,1
441788,"Tasty, satisfying soup, but don't eat too often!",1
431116,Calm magnesium suppliment,1
458231,Best seasoning ever!,1
116815,Finally! :),1
331899,Great new additions,1
302935,NY Egg Cream Stable but get the Kosher product!,1
174164,one of the most important minerals for asthmatics,1
19525,Greenies for large dogs,1
436410,Delicious Bang 4 Your Buck!,1
513770,Fabulous pantry option!!,1
78024,"yum, yum. yum!!!!",1
386806,quick and easy,1
88483,Perfect!,1
278000,Great addition  for our troops overseas.,1
373867,Great so far!,1
422053,FRESH!,1
431385,Love Kettle Chips,1
68792,Great,1
135520,Wonderful Cherry Aroma,1
197162,A lot of Crunch & Munch for 110 Calories,1
417202,"WOW, This stuff is good",1
186072,Amazing Idea...,1
190850,Excellent product,1
422109,Creative Tea Blends,1
14583,AWESOME,1
75145,loved it,1
204768,My Favorite Tea,1
355405,MY FIRST AMAZON PURCHASE,1
148875,Excellent Treat,1
415969,Happy to find them here!,1
272599,"It is definitely ""good to the last drop""",1
328438,My favorite blend,1
342489,Homemade Sushi Made Easy,1
411509,Wonderful bread,1
236417,"Delicious and fresh, 10 lb Pear Jelly Belly beans",1
52387,"Frontier Dill Weed C/s, 16 Ounce Bag",1
55554,Wonderful product!,1
269595,Cured my sore throat in 1 day,1
58329,Delicious!,1
151931,Repeat Buy,1
423795,Nut Milk Bag,1
405041,Someone please remove this stuff from my home...,1
97682,Great Buy,1
355931,A Different Tchocolate,1
198503,Yummy & super easy.,1
439076,Wonderful graham style crackers!,1
499052,A tang that packs a punch!,1
50103,I used the blend on chicken...,1
466153,Thick and Creamy Peanut Paste,1
349720,WAKE UP!!!!,1
522134,Dog likes,1
460220,An Explosion for your Taste Buds,1
4118,You won't believe it,1
73125,Mom,1
307243,Coffee cake mix,1
117000,My new favorite tea!,1
359747,Sweet,1
466106,Only formula my daughter can keep down!!!,1
26420,Love them!,1
83961,Excellent,1
107767,My Cat Loves It,1
108180,Training aid treats; Natural Balance training tips.,1
480093,Can't live without it,1
21532,Best way to bake a chop.,1
511320,Amazing,1
198527,Happy Baby food is super delicious and nutritious!,1
288268,Yummy!!!,1
480005,I Love this Flavor and Don't Miss the Caffeine,1
367850,green mountain K-cup,1
418483,baby Olivia and her mom just love it!,1
75373,Dog's love it,1
460209,Absolutely YUM!,1
207526,Excellent Value,1
423618,Wonderful product!,1
212468,I can't believe this is Michael Keaton!!!,1
487906,great for disguising pills,1
186887,My dogs love it,1
493856,Satisfactory :),1
374550,Love it!!!,1
296385,Never knew a tea could taste this good,1
57893,Best Tea,1
28300,Delicious,1
434854,Very good Raw natural almonds at a GREAT price!,1
474159,Great on toast!,1
93445,How to keep the jars from breaking,1
100293,Rooibos tea is great,1
11949,"Yummy, Yummy, Yummy, I love me some Gummies...",1
426713,Addictive!,1
384073,shallots on hand all the time,1
313771,GREAT Baby/ TODDLER FOOD!!!!!! for my picky eater,1
400310,Wonderful!,1
